Department,GivenName,Surname,City,Manager,Name,SamAccountName,Title
Conseil en strategie,Aaron,Painter,Seoul,CN=Christine Koch,Aaron Painter,aaronp,Responsable du conseil en strategie
Conseil en gestion de contenu,Alfons,Parovszky,Seoul,CN=Stan Orme,Alfons Parovszky,alfonsp,Consultant en gestion de contenu
Ventes,Alicia,Thomber,Seoul,CN=David Simpson,Alicia Thomber,aliciat,Commercial
Conseil en strategie,Allison,Brown,Seoul,CN=Aaron Painter,Allison Brown,allisob,Consultant en strategie
Direction generale,Anna,Lidman,Seoul,CN=Christa Geller,Anna Lidman,annal,Vice-President Senior des Services en Ligne
Conseil en strategie,Anne,Weiler,Seoul,CN=Cesar Garcia,Anne Weiler,annew,Consultant en strategie
Ventes,Annelie,Zubar,Seoul,CN=Jose Saraiva,Annelie Zubar,anneliz,Commercial
Creation,Anu,Deshpande,Seoul,CN=Carol Troup,Anu Deshpande,anud,Ingenieur
Conseil en strategie,Arlene,Huff,Seoul,CN=Jenni Merrifield,Arlene Huff,arleneh,Specialiste Marketing
Gestion de l engagement commercial,Arthur,Yasinski,Seoul,CN=Spencer Low,Arthur Yasinski,arthury,Directeur Commercial
Conseil en strategie,Blaine,Dockter,Seoul,CN=Ellen Adams,Blaine Dockter,blained,Consultant en strategie
Conseil en strategie,Brad,Sutton,Seoul,CN=Christine Koch,Brad Sutton,brads,Responsable du conseil en strategie
Conseil en gestion de contenu,Cari,Drummelle,Seoul,CN=Stan Orme,Cari Drummelle,carid,Consultant en gestion de contenu
Direction generale,Cassie,Hicks,Seoul,CN=Adam Barr,Cassie Hicks,cassieh,Directeur du Service Client
Conseil en strategie,Cesar,Garcia,Seoul,CN=Christine Koch,Cesar Garcia,cesarg,Responsable du conseil en strategie
Comptabilite,Chase,Carpenter,Seoul,CN=Karim Manar,Chase Carpenter,chasec,Comptable
Comptabilite,Chris,Johnson,Seoul,CN=Karim Manar,Chris Johnson [FINANCE],chrisjoh,Ingenieur senior
Direction,Christa,Geller,Seoul,CN=Jeff Hay,Christa Geller,christg,Vice-President Corporate des activites en ligne
Ventes,Dan,Hough,Seoul,CN=Arthur Yasinski,Dan Hough,danh,Commercial
Direction,Dan,Jump,Seoul,,Dan Jump,danj,PDG (President-Directeur General)
Ventes,David,Bossard,Seoul,CN=April Stewart,David Bossard,davidb,Commercial
Conseil en gestion de contenu,David,Hamilton,Seoul,CN=Stan Orme,David Hamilton,davidh,Consultant CRM
Conseil en strategie,David,Maman,Seoul,CN=Christine Koch,David Maman,davidm,Responsable du conseil en strategie
Gestion de l engagement commercial,David,Simpson,Seoul,CN=Alan Brewer,David Simpson,davids,Directeur Commercial
Ventes,David,Wright,Seoul,CN=David Simpson,David Wright,davidw,Commercial
Conseil en gestion de contenu,Diane,Glimp,Seoul,CN=Stan Orme,Diane Glimp,dianeg,Consultant en gestion de contenu
Ventes,Dominik,Paiha,Seoul,CN=Jose Saraiva,Dominik Paiha,dominip,Commercial
Conseil en strategie,Don,Hall,Seoul,CN=Ellen Adams,Don Hall,donh,Consultant en strategie
Ventes,Elizabeth,Andersen,Seoul,CN=Arthur Yasinski,Elizabeth Andersen,elizaba,Commercial
Conseil en strategie,Ellen,Adams,Seoul,CN=Christine Koch,Ellen Adams,ellena,Responsable du conseil en strategie
Ventes,Eran,Harel,Seoul,CN=Jose Saraiva,Eran Harel,eranh,Commercial
Ventes,Eric,Gruber,Seoul,CN=Lene Aalling,Eric Gruber,ericg,Responsable des Achats
Conseil en gestion de contenu,Erik,Andersen,Seoul,CN=Stan Orme,Erik Andersen,erica,Consultant en gestion de contenu
Ventes,Erik,Gubbels,Seoul,CN=April Stewart,Erik Gubbels,erikg,Commercial
Conseil en gestion de contenu,Esther,Valle,Seoul,CN=Stan Orme,Esther Valle,estherv,Consultant en gestion de contenu
Direction,Frank,Martinez,Seoul,CN=Dan Jump,Frank Martinez,frankm1,Directeur des Operations (DDO)
Conseil en strategie,Frank,Miller,Seoul,CN=David Maman,Frank Miller,frankm,Consultant en strategie
Conseil en gestion de contenu,Gareth,Chan,Seoul,CN=Stan Orme,Gareth Chan,garethc,Consultant en gestion de contenu
Ventes,Gina,Boyer,Seoul,CN=Arthur Yasinski,Gina Boyer,ginab,Commercial
Direction generale,Greg,Winston,Seoul,CN=Jeff Hay,Greg Winston,gregw,President de la Direction
Ventes,Hazem,Abolrous,Seoul,CN=Lene Aalling,Hazem Abolrous,hazema,Commercial
Ventes,Howard,Gonzalez,Seoul,CN=Lene Aalling,Howard Gonzalez,howardg,Commercial
Conseil en strategie,Iben,Thorell,Seoul,CN=Brad Sutton,Iben Thorell,ibent,Consultant en strategie
Conseil en strategie,Idan,Rubin,Seoul,CN=Brad Sutton,Idan Rubin,idanr,Consultant en strategie
Gestion de l engagement commercial,Jack,Creasey,Seoul,CN=Dan Park,Jack Creasey,jackc,Directeur General
Comptabilite,James,Wittrell,Seoul,CN=Karim Manar,James Wittrell,jamesw,Comptable
Conseil en strategie,Jan,Kotas,Seoul,CN=Brad Sutton,Jan Kotas,jank,Consultant en strategie
Direction,Jeff,Hay,Seoul,CN=Frank Martinez,Jeff Hay,jeffh,Vice-President Corporate des Operations
Conseil en strategie,Jenni,Merrifield,Seoul,CN=David Maman,Jenni Merrifield,jennim,Consultant en strategie
Ventes,Jenny,Lysaker,Seoul,CN=April Stewart,Jenny Lysaker,jennyl,Specialiste Marketing
Conseil en strategie,Jesus,Escolar,Seoul,CN=Aaron Painter,Jesus Escolar,jesuse,Consultant en strategie
Comptabilite,Jill,Frank,Seoul,CN=Karim Manar,Jill Frank,jillf,Comptable
Conseil en strategie,Jim,Corbin,Seoul,CN=David Maman,Jim Corbin,jimc,Consultant en strategie
Direction,Jim,Daly,Seoul,CN=Dan Jump,Jim Daly,jimd,Directeur Financier (DAF)
Conseil en gestion de contenu,Jim,Lucey,Seoul,CN=Stan Orme,Jim Lucey,jiml,Consultant en gestion de contenu
Comptabilite,Joel,Lachance,Seoul,CN=Karim Manar,Joel Lachance,joell,Comptable
Conseil en strategie,John,John,Seoul,CN=Aaron Painter,John John,johne,Consultant en strategie
Ventes,John,Kane,Seoul,CN=Jose Saraiva,John Kane,johnk,Commercial
Conseil en strategie,John,Yokum,Seoul,CN=Ellen Adams,John Yokum,johny,Consultant en strategie
Conseil en strategie,Jon,Jaffe,Seoul,CN=Brad Sutton,Jon Jaffe,jonj,Consultant en strategie
Ventes,Jose,Saraiva,Seoul,CN=Larry Zhang,Jose Saraiva,joses,Directeur Commercial
Ventes,Josh,Edwards,Seoul,CN=Lene Aalling,Josh Edwards,joshe,Specialiste Marketing
Direction generale,Julian,Isla,Seoul,CN=Molly Clark,Julian Isla,juliani,Responsable senior du developpement commercial
Conseil en strategie,Jun,Cao,Seoul,CN=Cesar Garcia,Jun Cao,junc,Consultant en strategie
Direction generale,Karen,Berg,Seoul,CN=Julian Isla,Karen Berg,karenb,Specialiste des Ressources Humaines
Ventes,Kari,Furse,Seoul,CN=Jose Saraiva,Kari Furse,karif,Gestionnaire de comptes senior
Comptabilite,Karim,Manar,Seoul,CN=Diane Tibbot,Karim Manar,karimm,Contrôleur de gestion
Conseil en strategie,Ken,Malcolmson,Seoul,CN=Ellen Adams,Ken Malcolmson,kenm,Consultant en strategie
Conseil en strategie,Kenneth,Cools,Seoul,CN=Brad Sutton,Kenneth Cools,kennetc,Consultant en strategie
Ventes,Kevin,Verboort,Seoul,CN=Arthur Yasinski,Kevin Verboort,kevinv,Specialiste Marketing
Ventes,Kim,Abercrombie,Seoul,CN=Jose Saraiva,Kim Abercrombie,kima,Responsable Informatique
Conseil en strategie,Kim,Ralls,Seoul,CN=David Maman,Kim Ralls,kimr,Consultant en strategie
Ventes,Kirk,Nason,Seoul,CN=Jose Saraiva,Kirk Nason,kirkj,Responsable des Achats
Comptabilite,Lars,Hansson,Seoul,CN=Karim Manar,Lars Hansson,larsh,Responsable comptable
Conseil en gestion de contenu,Lisa,Andrews,Seoul,CN=Stan Orme,Lisa Andrews,lisaa,Consultant en gestion de contenu
Conseil en strategie,Lisa,Miller,Seoul,CN=Cesar Garcia,Lisa Miller,lisam,Consultant en strategie
Conseil en strategie,Lolan,Song,Seoul,CN=David Maman,Lolan Song,lolans,Consultant en strategie
Conseil en strategie,Lori,Kane,Seoul,CN=Brad Sutton,Lori Kane,lorik,Consultant en strategie
